id,name,host_id,host_name,hosts_time_as_user_years,hosts_time_as_host_years,review_scores_rating,estimated_occupancy_l365d,price,minimum_nights,maximum_nights,number_of_reviews_ltm,reviews_per_month,estimated_revenue_l365d,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,num_amenities,bedrooms,beds,bathrooms,availability_365,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_is_superhost,host_has_profile_pic,host_identity_verified
1701693183733448716,Habitacion de lujo cerca aeropuerto. baño privado,180554137,John Freddy,8,0.0,,0,100423.58,1.0,365.0,0,0.0,0.0,Fontibon,4.67219,-74.12026,Private Room In Rental Unit,Private Room,1,10,1.0,1.0,1.0,364,,,,,,,False,True,True
1701760382660013781,Terraza Privada | Vista Directa a Monserrate,269741866,Maria JosÃ©,7,0.0,,0,171177.0,1.0,365.0,0,0.0,0.0,Santa Fe,4.611093291925258,-74.07010082,Entire Rental Unit,Entire Home/Apt,2,26,1.0,1.0,1.0,338,,,,,,,False,True,True
1701862719959433227,hermoso y comodo apartamento serca del aeropuerto,674599559,Diana,1,1.0,,0,233942.0,1.0,365.0,0,0.0,0.0,Fontibon,4.6562127,-74.117114,Entire Rental Unit,Entire Home/Apt,5,6,3.0,4.0,2.0,357,,,,,,,False,True,True
1701927360344209108,Apto moderno/vista piso 18/ ubicación top/ 2 hab,192885611,Natalia,8,0.0,5.0,6,263612.0,1.0,365.0,1,1.0,1581672.0,Suba,4.7187266,-74.0523588,Entire Rental Unit,Entire Home/Apt,5,40,2.0,2.0,2.0,347,5.0,5.0,5.0,5.0,5.0,5.0,True,True,True
1702221494680733310,Apartamento moderno en zona exclusiva del norte,85307381,Diego,9,8.0,,0,490934.35,1.0,365.0,0,0.0,0.0,Usaquen,4.6953454,-74.0498947,Entire Rental Unit,Entire Home/Apt,14,30,4.0,5.0,4.0,353,,,,,,,True,True,True
1702264944451276908,Loft Premium | Ubicación Top + Piscina Piso 25,419269659,Margareth,4,2.0,,0,190577.0,1.0,365.0,0,0.0,0.0,Santa Fe,4.617386863416492,-74.06760415,Entire Rental Unit,Entire Home/Apt,4,16,1.0,2.0,1.0,185,,,,,,,False,True,True
1702295102804671354,Alcalá 134. Nuevo y Exclusivo Apartamento.,1702294471708993042,Jhonatan,0,0.0,5.0,6,271201.0,2.0,365.0,1,1.0,1627206.0,Suba,4.718785904742344,-74.05254845,Entire Rental Unit,Entire Home/Apt,6,28,2.0,2.0,2.0,359,5.0,5.0,5.0,5.0,5.0,5.0,False,True,True
1702336969990237964,w* | Upscale & Cozy Loft in the Heart of Bogotá,16148871,Juan,10,6.0,,0,175811.0,2.0,365.0,0,0.0,0.0,Usaquen,4.72252,-74.03413,Entire Rental Unit,Entire Home/Apt,2,29,1.0,1.0,1.0,352,,,,,,,False,True,True
1702557096810274262,La Castellana | Espectacular vista a los Cerros,382412943,Vanessa,5,0.0,,0,154912.5,2.0,365.0,0,0.0,0.0,Barrios Unidos,4.681825395681711,-74.06018034,Entire Loft,Entire Home/Apt,4,28,1.0,2.0,1.0,345,,,,,,,False,True,True
1702599733467460524,Luxury apto de 2 habitaciones en Santa Bárbara,507701379,Jorge Alexander,3,2.0,,0,251059.0,1.0,365.0,0,0.0,0.0,Usaquen,4.697794046053729,-74.04487293,Entire Rental Unit,Entire Home/Apt,4,5,2.0,2.0,1.5,364,,,,,,,True,True,True
1702736795222387570,Habitación central en Bogotá para pareja,172162511,AngÃ©lica,8,3.0,,0,67522.0,1.0,30.0,0,0.0,0.0,Barrios Unidos,4.650236257353214,-74.06655814,Private Room In Rental Unit,Private Room,2,27,1.0,1.0,1.0,352,,,,,,,False,True,True
1702750024113765292,"Central, ideal para viajeros en Chapinero",172162511,AngÃ©lica,8,3.0,,0,67522.0,1.0,30.0,0,0.0,0.0,Teusaquillo,4.648733881642317,-74.06560764,Private Room In Rental Unit,Private Room,2,27,1.0,1.0,1.0,344,,,,,,,False,True,True
1702755200291918642,"Como en casa, habitación con cocina compartida",172162511,AngÃ©lica,8,3.0,,0,68502.0,1.0,30.0,0,0.0,0.0,Barrios Unidos,4.650118908142033,-74.06560779,Private Room In Rental Unit,Private Room,2,27,1.0,1.0,1.0,357,,,,,,,False,True,True
1702761944420549387,Habitación cómoda y cocina compartida en Chapinero,172162511,AngÃ©lica,8,3.0,,0,67522.0,1.0,30.0,0,0.0,0.0,Barrios Unidos,4.650608617100921,-74.06511112,Private Room In Rental Unit,Private Room,2,27,1.0,1.0,1.0,350,,,,,,,False,True,True
